PC_ID,PC_SMILES,PC_HOMO,PC_LUMO,PC_S1,PC_T1_a,mordred_PC_0,mordred_PC_1,mordred_PC_2,mordred_PC_3,mordred_PC_4,Alc_ID,Alc_SMILES,Alc_HOMO,Alc_LUMO,Alc_BDFE,mordred_Alc_0,mordred_Alc_1,mordred_Alc_2,mordred_Alc_3,mordred_Alc_4,Yield
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,7.20080167,-17.6686383,0.426785558,28.770577,6.206296247,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,-11.71469047,-6.822840992,14.11444836,-1.521686394,29.80993616,14
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,7.20080167,-17.6686383,0.426785558,28.770577,6.206296247,Alc4,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,33.09993447,2.951163937,-7.586083147,5.978377368,2.553950157,4
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,7.20080167,-17.6686383,0.426785558,28.770577,6.206296247,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,-14.62194718,28.80559974,-0.840053273,-5.971192521,5.315228113,18
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,7.20080167,-17.6686383,0.426785558,28.770577,6.206296247,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,23.62536858,0.661946499,-9.500574307,-8.115361088,-3.419895141,11
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,7.20080167,-17.6686383,0.426785558,28.770577,6.206296247,Alc7,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,9.960979275,-7.691830153,-0.359370043,-7.888556589,3.458110622,78
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,7.20080167,-17.6686383,0.426785558,28.770577,6.206296247,Alc8,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,-17.43227242,-12.22861103,0.615510936,5.636608796,-2.222466306,90
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,7.20080167,-17.6686383,0.426785558,28.770577,6.206296247,Alc9,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,-19.749389,-10.63011667,-9.869495255,27.75351357,0.245719578,13
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,7.20080167,-17.6686383,0.426785558,28.770577,6.206296247,Alc10,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,-2.587590608,-10.3303571,-15.95727555,-17.8057074,3.047377322,53
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,7.20080167,-17.6686383,0.426785558,28.770577,6.206296247,Alc11,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,-27.79506717,-14.06511715,-12.55596764,-7.437160448,-7.622918174,86
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,7.20080167,-17.6686383,0.426785558,28.770577,6.206296247,Alc12,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,47.28218669,-9.209036271,5.816920017,7.729107998,-0.753545312,5
